String,Number
P29375,0
P06400,1
P20226,2
P09086,3
P22681,4
P46108,5
P27986,6
P06213,7
P31946,8
P04049,9
Q08999,10
P15172,11
Q08945,12
P17947,13
P25490,14
Q09472,15
Q92793,16
P36956,17
P15923,18
P15884,19
Q02535,20
P00519,21
Q13315,22
P02593,23
P35609,24
Q15172,25
P31314,26
P18428,27
P08571,28
P10415,29
Q07812,30
Q15628,31
P19438,32
P29466,33
P01584,34
P32239,35
P01350,36
P43405,37
Q15349,38
P42574,39
P09874,40
Q00987,41
P04637,42
P42345,43
P20071,44
Q16514,45
P02304,46
Q16594,47
P21675,48
P11277,49
P02549,50
P49848,51
Q00403,52
Q15572,53
P08047,54
P32519,55
P29374,56
Q13029,57
Q15544,58
Q15543,59
Q12962,60
P06127,61
Q8NEB9,62
Q00839,63
P06239,64
P01112,65
Q13671,66
P42684,67
P42768,68
P16333,69
P29317,70
P20827,71
Q13158,72
P25445,73
P00533,74
Q13596,75
Q13546,76
P14778,77
P51617,78
P27797,79
P13747,80
P14859,81
P09661,82
Q12874,83
P05783,84
Q12965,85
P15498,86
P62993,87
P35568,88
P04899,89
P81274,90
P08069,91
P29353,92
P15056,93
P14598,94
P19878,95
P30304,96
P42655,97
P30305,98
Q6FHM2,99
P63104,100
Q14205,101
Q13424,102
Q13884,103
P46939,104
P17677,105
Q14209,106
Q14186,107
Q14188,108
P10243,109
Q07820,110
P16220,111
P49716,112
Q03519,113
P10721,114
P11831,115
P35269,116
P15924,117
P13647,118
P08631,119
Q03405,120
P63211,121
P16520,122
Q13889,123
P19447,124
P05556,125
P56199,126
P10809,127
P08107,128
Q16667,129
P06493,130
P32927,131
P04141,132
P17301,133
P28749,134
P07948,135
P05787,136
P15173,137
P12931,138
P20248,139
P24385,140
P61024,141
P24941,142
P11802,143
Q96TE0,144
Q00534,145
P30279,146
P05412,147
P11166,148
P27824,149
Q04771,150
P27037,151
P36896,152
P24588,153
P17252,154
P23458,155
P40189,156
P29597,157
P17181,158
P01111,159
P05113,160
P08700,161
P15509,162
Q01094,163
P19838,164
P62873,165
P27487,166
P00813,167
P08575,168
P18074,169
P32780,170
Q13888,171
P28715,172
Q13216,173
Q03468,174
Q16533,175
Q13487,176
P02766,177
P05067,178
P02675,179
P12830,180
P28827,181
P19138,182
P67870,183
P05231,184
P08887,185
P01579,186
P15260,187
P17480,188
P19174,189
P08514,190
P05106,191
P35221,192
P35222,193
P15104,194
P35869,195
P07900,196
P04150,197
P00488,198
P04792,199
P14784,200
P01589,201
P60568,202
P31785,203
Q04864,204
P34932,205
Q04206,206
P25963,207
P15407,208
P22415,209
P19388,210
P19338,211
P03956,212
P01033,213
Q13323,214
P63279,215
Q06609,216
P48551,217
P43351,218
P09769,219
Q15185,220
Q00526,221
P01563,222
P25325,223
Q07161,224
P19784,225
P02538,226
P01100,227
P09619,228
P42229,229
Q13625,230
P52333,231
P24864,232
P06702,233
P05109,234
P61244,235
P50539,236
P19793,237
P10276,238
Q07869,239
P38936,240
P13861,241
P11137,242
P41236,243
P36873,244
P49841,245
P28482,246
P45984,247
P53779,248
P18847,249
P18848,250
Q02750,251
P14635,252
P20936,253
Q01081,254
P26368,255
P01023,256
P22303,257
P02649,258
P21926,259
P16070,260
P18827,261
P02748,262
P07357,263
P27635,264
P49768,265
P21333,266
Q9UQB3,267
Q14901,268
P12004,269
Q12802,270
P45983,271
Q07955,272
P41182,273
Q9Y618,274
Q15916,275
Q05516,276
P01375,277
P20333,278
P01374,279
P36941,280
P28908,281
P32971,282
Q30201,283
P02786,284
P02787,285
P05112,286
P24394,287
Q06643,288
P43489,289
P23510,290
P29965,291
P25942,292
P16871,293
P13232,294
P40933,295
P35225,296
P78552,297
Q07011,298
P41273,299
Q01113,300
P15248,301
P22301,302
Q13651,303
Q14627,304
Q01344,305
Q99933,306
P26951,307
P25025,308
P10145,309
P20809,310
Q16570,311
Q14626,312
P25024,313
P21802,314
P05230,315
P29459,316
P29460,317
P21781,318
P22607,319
P09038,320
P08620,321
P12034,322
P11362,323
P11487,324
Q8NI16,325
P22455,326
P08138,327
P01138,328
P01127,329
P04629,330
P23560,331
Q16620,332
P20783,333
Q16288,334
P40238,335
P40225,336
P01588,337
P19235,338
P04085,339
P16234,340
P49767,341
P35916,342
P15692,343
P17948,344
O14786,345
Q14563,346
O60462,347
P49763,348
P26992,349
P26441,350
P42702,351
P15018,352
P13725,353
O15467,354
P32302,355
O00626,356
P51679,357
P08476,358
Q99062,359
P36894,360
P12643,361
Q13873,362
P18075,363
P12644,364
P32246,365
P41597,366
P22362,367
P51685,368
P32248,369
Q99731,370
Q99616,371
P51677,372
P80098,373
P51686,374
O15444,375
P49682,376
O14625,377
P09341,378
P13500,379
P10147,380
P13236,381
P13501,382
Q92583,383
O00585,384
P51671,385
Q16627,386
P51684,387
P78556,388
P51681,389
P80075,390
P46092,391
Q9Y4X3,392
O00175,393
Q9Y258,394
P49238,395
P78423,396
Q07325,397
P02778,398
O43294,399
P10275,400
Q03167,401
P61812,402
P06401,403
Q13105,404
Q14620,405
P37173,406
P10600,407
P01912,408
P01903,409
P61769,410
P19875,411
P19876,412
P42830,413
O43927,414
P62826,415
P82094,416
P36897,417
P01137,418
P37023,419
P21246,420
Q9UM73,421
Q13772,422
Q03135,423
P03372,424
Q9Y6X2,425
Q92731,426
O75925,427
P38398,428
Q99728,429
P14416,430
Q12888,431
Q14192,432
Q13683,433
P26006,434
Q13185,435
P23497,436
P45973,437
Q14739,438
P50613,439
Q15596,440
Q92993,441
P49116,442
P01730,443
Q14005,444
Q99665,445
Q08334,446
P32881,447
P01574,448
P01569,449
P01562,450
P08581,451
Q04756,452
P26927,453
Q04912,454
O95750,455
P30491,456
P10912,457
P01241,458
O19691,459
Q07960,460
P60953-1,461
P63098,462
Q08209,463
P42771,464
P55273,465
P41159,466
P48357,467
Q05086,468
P68036,469
P51946,470
P02775,471
P35462,472
P33681,473
P10747,474
P41180,475
P42701,476
O15123,477
Q02763,478
Q9NPB9,479
P48552,480
P23634,481
P10599,482
P27695,483
P08709,484
P13726,485
P21953,486
P12694,487
P18464,488
P37108,489
P49458,490
P38117,491
P13804,492
P55899,493
P12319,494
P01854,495
P01233,496
P01215,497
P28068,498
P28067,499
P03989,500
Q16663,501
O14836,502
Q9Y275,503
P50591,504
Q9UBN6,505
Q13114,506
P17813,507
Q12931,508
P04229,509
Q14974,510
P52292,511
Q12933,512
P62877,513
Q13616,514
Q93068,515
O43516,516
P23468,517
O43312,518
P41212,519
P02570,520
P11171,521
Q9Y2J2,522
O43491,523
Q13547,524
P18846,525
O15151,526
P62988,527
O14757,528
P35244,529
P15927,530
P30307,531
Q16254,532
P78527,533
P12956,534
P27694,535
P23025,536
Q14565,537
P13051,538
P09429,539
O15350,540
O60566,541
O43684,542
O43683,543
Q10567,544
O00203,545
Q9Y6B7,546
P15559,547
Q15648,548
P17275,549
P51587,550
Q8IWY9,551
P18858,552
O75714,553
P35249,554
Q96C41,555
P39748,556
P24522,557
O95257,558
Q9UK52,559
Q9NS83,560
Q9UK53,561
O75293,562
Q00535,563
Q15078,564
O14867,565
Q8N726,566
Q15329,567
O00716,568
P49459,569
P31350,570
P23921,571
Q9NTD8,572
P22674,573
P07992,574
O00255,575
Q00653,576
Q13156,577
O75771,578
O43543,579
Q92547,580
Q07864,581
Q99708,582
Q13363,583
O00158,584
O60619,585
P51532,586
P35232,587
Q9HCU9,588
P78347,589
O15379,590
Q9NXV6,591
Q15653,592
Q93008,593
O00743,594
O00221,595
Q13233,596
Q16543,597
Q99759,598
P35214,599
Q9Y2S0,600
O15491,601
Q01201,602
P54278,603
P40692,604
Q8NFZ5,605
P41279,606
Q8IYF5,607
Q9UKB1,608
O95163,609
P33992,610
Q16342,611
O15111,612
O14920,613
Q13576,614
P42704,615
P23508,616
P46199,617
Q9UJF2,618
Q8NBA9,619
P52434,620
P52436,621
O15160,622
O15084,623
P35606,624
